img,text,model,prompt,img_id
./JPEG_Dataset/1.jpg,"Here is the extracted text from the image:

```
INGREDIENTS: GRANOLA (WHOLE GRAIN ROLLED OATS, SUGAR, PALM KERNEL AND SOYBEAN OILS, CORN SYRUP, COCONUT, HONEY, MOLASSES, SOY LECITHIN, SALT, CORN STARCH, PEANUTS, ALMONDS, SOY FLOUR, EGG WHITES), CORN SYRUP, CHOCOLATE CHIPS (SUGAR, CHOCOLATE, COCOA BUTTER, DEXTROSE, SOY LECITHIN, VANILLA, MILK), CRISP RICE (RICE FLOUR, SUGAR, WHEY, SALT, BARLEY MALT, WHEAT FLOUR, DEXTROSE), PALM KERNEL AND SOYBEAN OILS, WATER, SORBITOL, NONFAT DRY MILK, SOY LECITHIN, SALT, SUGAR, CARRAGEENAN
ALLERGY INFORMATION: CONTAINS COCONUT, SOY, PEANUTS, ALMONDS, EGG, MILK, WHEAT. MAY ALSO CONTAIN OTHER TREE NUTS.

```
Please note that the blurring of the text in the image may have led to minor inaccuracies in the text extraction.",gpt-4-vision-preview,I took a picture of the back of the product. Can you extract text from the image and return it in the OCR model's text label format? Your response should only contain the extracted text label.,1
./JPEG_Dataset/2.jpg,"```
INGREDIENTS: CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, SUGAR, CORN SYRUP, EGG YOLKS, WHEAT FLOUR, COCONUT OIL, COCOA, MILK, BUTTERFAT, SOY LECITHIN, NATURAL FLAVOR, SALT, CARRAGEENAN, GUAR GUM, VANILLA EXTRACT, BAKING SODA, SOYBEAN OIL, INVERT SUGAR.
CONTAINS EGG, MILK, SOY AND WHEAT.

BEN & JERRY'S HOMEMADE, INC.
SO. BURLINGTON, VT 05403-6828
A Unilever BRAND

Get in touch with us:
benjerry.com/contact-us
Your satisfaction guaranteed.

Cocoa, sugar, & vanilla:
mass balance is
used to match Fairtrade
sourcing, total 59%,
excluding water & dairy.
info.fairtrade.net/sourcing

@Ben & Jerry's homemade, inc. 2022
36796
```",gpt-4-vision-preview,I took a picture of the back of the product. Can you extract text from the image and return it in the OCR model's text label format? Your response should only contain the extracted text label.,2
./JPEG_Dataset/3.jpg,"```
Nutrition Facts
usually 3 servings per container
Serving size 1 oz (28 g/ about 5 chips)

Amount per serving
Calories 30

% Daily Value*
Total Fat 0g 0%
Sodium 220mg 10%
Total Carbohydrate 7g 3%
Total Sugars 7g
Includes 6g Added Sugars 12%
Protein 0g

Not a significant source of saturated fat, trans fat, cholesterol, dietary fiber, vitamin D, calcium, iron and potassium.

INGREDIENTS: CUCUMBERS, SUGAR, WATER, VINEGAR, SEA SALT, MUSTARD SEEDS, ONION FLAKES, CALCIUM CHLORIDE (FIRMING AGENT), CELERY SEEDS, POLYSORBATE 80, AND TURMERIC (FOR COLOR).

Mt. Olive Pickle Company, Inc.
Mt. Olive, NC 28365-0609
REFRIGERATE AFTER OPENING
```",gpt-4-vision-preview,I took a picture of the back of the product. Can you extract text from the image and return it in the OCR model's text label format? Your response should only contain the extracted text label.,3
./JPEG_Dataset/4.jpg,"```
A FRONTIER STAPLE FOR
EVERYDAY ADVENTURES
Nourishing and convenient, oatmeal was a favorite of frontier folk for
good reason. Kodiak® Oatmeal is crafted with whole grain rolled oats
and protein-packed to make it a great-tasting source of nourishment
whether you’re at home or out on the trail.

MICROWAVE DIRECTIONS:
1. Tear packet open and add contents to a microwave-safe bowl.
2. Add 1/3 cup water (use milk for extra protein).
3. Stir until combined.
4. Based on desired texture, heat in microwave on high
for 30-45 seconds.*

STEEPING DIRECTIONS:
1. Empty contents into a bowl.
2. Add 1/3 cup hot water (use milk for extra protein).
3. Stir well, cover, and let stand for 2-3 minutes.

CAUTION! Bowl and contents will be hot.
*Directions developed with 1100-watt microwave ovens.
Microwaves vary. Adjust cooking time as needed.

Nutrition Facts
6 servings per container
Serving size 1 Packet (50g)

Amount Per Serving
Calories 190
% Daily Value*
Total Fat 2.5g 3%
Saturated Fat 0g 0%
Trans Fat 0g
Cholesterol 0mg 0%
Sodium 160mg 7%
Total Carbohydrate 31g 11%
Dietary Fiber 3g 11%
Total Sugars 10g
Includes 10g Added Sugars 20%
Protein 12g
Vitamin D 0mcg 0% • Calcium 100mg 8%
Iron 1.3mg 8% • Potassium 170mg 4%

*The % Daily Value (DV) tells you how much a
nutrient in a serving of food contributes to a daily
diet. 2,000 calories a day is used for general
nutrition advice.

INGREDIENTS:
100% whole grain rolled oats, pea
protein concentrate with tapioca
starch, cane sugar, milk protein
concentrate, brown sugar, maple
syrup, whey protein isolate with
sunflower lecithin, sea salt,
natural flavors.

Contains milk. Due to processing on
shared equipment, contains trace
amounts of egg, soy, tree nuts,
and wheat.

KODIAK
PARK CITY
Created & distributed by:
KODIAK CAKES
Park City, UT 84098
©2023 KODIAK CAKES, LLC
UD
```",gpt-4-vision-preview,I took a picture of the back of the product. Can you extract text from the image and return it in the OCR model's text label format? Your response should only contain the extracted text label.,4
./JPEG_Dataset/5.jpg,"```
Nutrition Facts
About 7 servings per container
Serving size About 1 cup (28g)

Amount per serving
Calories 140
% Daily Value*
Total Fat 6g 8%
Saturated Fat 0.5g 3%
Trans Fat 0g
Cholesterol 0mg 0%
Sodium 65mg 3%
Total Carbohydrate 20g 7%
Dietary Fiber less than 1g 3%
Total Sugars 12g
Includes 12g Added Sugars 24%
Protein less than 1g
Vitamin D 0mcg 0%
Calcium 0mg 0%
Iron 0.3mg 2%
Potassium 30mg 0%

* The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice.

INGREDIENTS: SUGAR, POPCORN, CANOLA OIL, CORN SYRUP, AND LESS THAN 2% OF COCOA (PROCESSED WITH ALKALI), NATURAL FLAVORS, SALT, SOY LECITHIN, GUM ACACIA, MALTODEXTRIN (MADE FROM CORN), BUTTERMILK, COCOA BUTTER, CREAM, MEDIUM CHAIN TRIGLYCERIDES, MONO- AND DIGLYCERIDES OF FATTY ACIDS, ROSEMARY EXTRACT (ANTIOXIDANT), AND ASCORBIC ACID (ANTIOXIDANT).
CONTAINS MILK AND SOY INGREDIENTS.

MADE ON EQUIPMENT THAT MAKES PRODUCTS CONTAINING PEANUTS AND TREE NUTS.

MANUFACTURED FOR
SMARTFOODS, INC.
PLANO, TX 75024-4099
©2023 SMARTFOODS, INC.

QUESTIONS OR COMMENTS? 1-888-924-5654
Weekdays 9:00am-4:30pm CENTRAL TIME

CHOKE WARNING: DO NOT GIVE TO CHILDREN YOUNGER THAN 4 YEARS OLD.
```",gpt-4-vision-preview,I took a picture of the back of the product. Can you extract text from the image and return it in the OCR model's text label format? Your response should only contain the extracted text label.,5
./JPEG_Dataset/6.jpg,"""text"": ""Nutrition Facts Datos de Nutrición About 4.5 servings Aprox. 4.5 Raciones Serv. Size 5 wafers (32g) Porción 5 wafers (32g) Calories / Calorías 160 % Daily Value* % Valor Diario* Total Fat / Grasa Total 8g 10% Saturated Fat / Grasa Saturada 3g 15% Trans Fat / Grasa Trans 0g Cholesterol / Colesterol 0mg 0% Sodium / Sodio 55mg 2% Total Carbohydrate / Carbohidrato 23g 8% Dietary Fiber / Fibra Dietética 0g 0% Total Sugars / Azúcares Totales 14g Includes 14g Added Sugars Incluye 14g Azúcares Añadidos 28% Protein / Proteínas 1g Vitamin D / Vitamina D 0mcg 0% Calcium / Calcio 4mg 0% Iron / Hierro 0mg 0% Potassium / Potasio 27mg 0% *The % Daily Value tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice. *El porcentaje de Valor Diario indica la cantidad de un nutriente en una porción de alimento contribuye a una dieta diaria. 2,000 calorías al día se utiliza para el consejo general de nutrición. INGREDIENTS: SUGAR, VEGETABLE OIL (PALM OIL, HYDROGENATED AND/OR INTERESTERIFIED SOYBEAN OIL WITH TBHQ, BHT), ASCORBYL PALMITATE, ALPHA TOCOPHEROL (TO PROTECT FRESHNESS), WHEAT FLOUR (CONTAINS: WHEAT STARCH, SALT, SOY LECITHIN, LEAVENING (BICARBONATO), ARTIFICAL FLAVOR, COLOR (ANNATTO, CONTAINS; WHEAT AND SOY. MAY CONTAIN MILK. PRODUCTO A PARZIL, INGREDIENTES: AZÚCAR, ACEITE VEGETAL (ACEITE DE PALMA, ACEITE DE SOYA HIDROGENADO E INTERESTERIFICADO (TBHQ, BHT), PALMITATO DE ASCORBILO, ALFA TOCOFEROL (PARA PROTEGER LA FRESCURA), HARINA DE TRIGO (CONTIENE: ALMIDÓN DE TRIGO, SAL, LECITINA DE SOYA, LEVADURA (BICARBONATO DE SODIO), SABOR ARTIFICIAL, COLOR (CARAMELO Y ANNATTO). CONTIENE TRIGO Y SOYA. PUEDEN CONTENER LECHE. PRODUCTO DE BRASIL. 00:06:83.0047.00/10 DISTRIBUTED BY/DISTRIBUIDO POR GOYA FOODS, INC, JERSEY CITY, NJ 07307 USA. Contains bioengineered food ingredients. www.goya.com STORE IN A COOL DRY PLACE. CONSERVAR EN LUGAR SECO Y FRESCO. Best By / Consumir Antes: NOV/27/2024 1C""",gpt-4-vision-preview,I took a picture of the back of the product. Can you extract text from the image and return it in the OCR model's text label format? Your response should only contain the extracted text label.,6
./JPEG_Dataset/7.jpg,"```
Nutrition Facts / Datos de Nutrición
about 14 servings per container / cerca de 14 raciones por envase
Serving size/Tamaño por ración
5 crackers / 5 galletas (16g)

Calories/Calorías 70
per serving/por ración

Amount per serving/Cantidad por ración % DV/* % VD*
Total Fat/Grasa Total 1.5g 2%
Saturated Fat/Grasa Saturada 0g 0%
Trans Fat/Grasa Trans 0g
Cholesterol/Colesterol 0mg 0%
Sodium/Sodio 135mg 6%
Vitamin D/Vitamina D 0mcg 0% Calcium/Calcio 0mg 0%
Iron/Hierro 0.8mg 4% Potassium/Potasio 20mg 0%

Total Carbohydrate/Carbohidrato Total 12g 4%
Dietary Fiber/Fibra Dietética 0g 0%
Total Sugars/Azúcares Total 0g
Includes 0g Added Sugars/Incluye 0g Azúcares Añadidos 0%
Protein/Proteínas 1g
```
",gpt-4-vision-preview,I took a picture of the back of the product. Can you extract text from the image and return it in the OCR model's text label format? Your response should only contain the extracted text label.,7
./JPEG_Dataset/8.jpg,"""text_labels"": [
{
""Nutrition Facts"":
""2 servings per container |
Serving size 6 cookies (32g) |
Amount per serving |
Calories 150 |
% Daily Value* |
Total Fat 7g 9% |
Saturated Fat 3g 15% |
Trans Fat 0g |
Cholesterol 0mg 0% |
Sodium 150mg 7% |
Total Carbohydrate 21g 8% |
Dietary Fiber 1g 4% |
Total Sugars 12g |
Includes 11g Added Sugars 23% |
Protein 1g |
Vitamin D 0mcg 0% |
Calcium 10mg 0% |
Iron 1.2mg 6% |
Potassium 20mg 0%""  
},
{
""Ingredients"":
""MADE IN A BAKERY THAT USES PEANUTS AND TREE NUTS.""
}
]",gpt-4-vision-preview,I took a picture of the back of the product. Can you extract text from the image and return it in the OCR model's text label format? Your response should only contain the extracted text label.,8
./JPEG_Dataset/9.jpg,"```
INGREDIENTS: BAGEL HALVES (WHEAT FLOUR, WATER, CONTAINS LESS THAN 2% OF THE FOLLOWING INVERT CANE SYRUP, YEAST, SALT, SOYBEAN OIL, ENZYME, ASCORBIC ACID, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID). TOPPING (CHEESE BLEND [PART-SKIM MOZZARELLA CHEESE (CULTURED PART-SKIM MILK, SALT, ENZYMES), MODIFIED FOOD STARCH, SKIM MILK], PEPPERONI MADE WITH PORK AND CHICKEN (PORK, MECHANICALLY SEPARATED CHICKEN, SALT, CONTAINS 2% OR LESS OF PORK STOCK, SPICES, DEXTROSE, LACTIC ACID STARTER CULTURE, OLEORESIN OF PAPRIKA, FLAVORING, SODIUM ASCORBATE, SODIUM NITRITE, BHA, BHT, CITRIC ACID)). SAUCE (WATER, TOMATO PASTE, INVERT CANE SYRUP MODIFIED FOOD STARCH, SALT, METHYL CELLULOSE, CITRIC ACID, POTASSIUM CHLORIDE, AMMONIUM CHLORIDE, SPICE, YEAST EXTRACT, NATURAL FLAVOR, CALCIUM LACTATE), WATER, INVERT CANE SYRUP.
CONTAINS: WHEAT, MILK.
DISTRIBUTED BY: KRAFT HEINZ FOODS COMPANY, PITTSBURGH,
PA 15222
PLEASE RECYCLE THIS CARTON
```",gpt-4-vision-preview,I took a picture of the back of the product. Can you extract text from the image and return it in the OCR model's text label format? Your response should only contain the extracted text label.,9
./JPEG_Dataset/10.jpg,"```
ORIGINAL
BEST BY: NET WT. 1.2 OZ (34g)
NO NITRITES ADDED BEEFSTICK
(Except for those naturally occurring in cultured celery juice and cherry powder.)
THIS UNIT NOT LABELED FOR INDIVIDUAL SALE.
EST. 499i EST. 2JC02
Link Snacks Inc. Minong, WI 54859 U.S.A. 
U.S. Inspected and Passed by Department of Agriculture
JACK LINK'S
BEEFSTICK & CHEESE
100% BEEF & PASTEURIZED PROCESS CHEDDAR CHEESE
8 g PROTEIN 80 g CALORIES
PER PACKAGE
FRACHESE
_SNACKS_
Nutrition Facts
Amount per serving
Calories 80
% Daily Value*
Total Fat 6g 8%
Saturated Fat 2.5g
Trans Fat 0g
Cholesterol 20mg 7%
Sodium 270mg 12%
Total Carbohydrate 2g 1%
Dietary Fiber 0g 0%
Total Sugars 1g
Includes 0g Added Sugars 0%
Protein 5g
Vitamin D 0mcg 0%
Calcium 67mg 6%
Iron 0.6mg 4%
Potassium 66mg 2%
```
",gpt-4-vision-preview,I took a picture of the back of the product. Can you extract text from the image and return it in the OCR model's text label format? Your response should only contain the extracted text label.,10
