ocr_results_easyocr
Image Name,Extracted Text
91.jpeg,"3 3 3 S 3 ( Sto Sn 2 9 2 7 2  ~ 2 E 3 2 T I = 2 a  T 7 r tassi Za L ] 0( W "" Hu 3 U 3 2 ~ 3 1 2 3 Snstb uer 6 Fe AT Ch Ich a 8"" uea ns YA Wn "" Un ""S 2% 05 5 Ex 5 MM M L Vn IuN W H L An # L hl 6I 3 2 1 U Jl S A 15  ""  F 3 S 2 3 3 2 ^2 3 3 3 3 Se 3 2 "" A ICT T "" 1  I I 1 2 """
131.jpeg,"A S 3 [ 2 3 A 3 2 3 : 3 L 7 ~ En 3 "" 4 4 2 4 ""' 2 4 "" 2  4 '  ) 3 5 Jo ( "" 5 3  ""erre U 3 (7e( Je % 83 2 8 @ 4 W 2 Dz 2 5 5 Z E JD 5 ' 4 = Mhic 3 "" "" 3 3   U S 2   U  e U  2 #  1 2"
45.jpeg,"14% Ac9d we toclally impactful. From to Fat 11g 2.5g_ Of goal is to to the we work, Fat and not just a Trans Fat Og Fat 2g to make the wO Fat 6g Omg 0% 50mg 2% Carbohydrate 189 5% Dietary Fiber 2g 7% 18 6g cashews K( Sugars & Includes 6g Added Sugars_12% almonds Sugar Alcohol Og 4g Marn D Omcg O% _ Calcium 2% hon Zmg 70% Potassium 4% AllY ED 'Ie Daiy Value tells you how much a nutrient in 1 serngof food contributes to a daily diet. 2,000 (Jores & day is used for nutrition advice. INGREDIENTS: Cashews, almonds, semi-sweet chocolate (unsweetened chocolate, sugar, cocoa 13 soy lecithin, vanilla extract), cane sugar, vanilla quinoa; | rice syrup, vanilla extract; natural extract Sea salt;, Vitamin E (mixed tocopherols for and Contains cashews; almonds Soy. tree nuts, milk, eggs Po to t1 by KIND LLC 884, Station NY , NY in BEST BY: BE ina make, our Total 13% way live make Saturated mind KIND bral community Kindly Polyunsaturated yours, Monounsaturated Daniel Lubetzky, KIND Cholesterol Founder Sodium Total Total Protein 32mg _ T55mg - general butter,  brown flavor,  freshness). Allergen ! Information: May € ycontain and peanuts, sesame  seeds Brought ' you BOX 705 ' 10018 28929-02-P-PFO401.01 1855 = Midtown KIND Made ' with e USA domestic and 2024 Jimponted ingredients. FIUB 22.08 16 417 Store ' C32331 dry place. Coo,"
59.jpeg,"(2m  6 3 138 % 7 5g % Saturated Fat 1g_ 6% Trans Fat 0g cholesterol_3mg_ 1% their Sodium 125mg 5% a crazy Total Carbohydrate 7% WE effect: Dietary Fiber 1g_ ddof 3% Total Sugars 14g_ in & Protein 2g flavors 154 Not a significant source of cholesterol; vitamin D, calcium; iron, and potassium artyiyour mouth The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet 2,000 calories nel a is used for general nutrition advice. beat INGREDIENTS: CORN SYRUP; SUGAR; BUTTER (MILK; BAKING SODA SALT,   WATER, PECANS, PEANUTS;, PISTACHIOS,  PUMPKIN   SEED   (WITH  PUMPKIN   SPICE) IEat; ANDIOR COCONUT; MADE IN A FACILITY THAT MAY ALSO PROCESS 2 NUTS,  PEANUTS,  EGGS, MiLk, AND MAY Ipp CONTAIN CHEWY OR HARD CANDY INA COOL azyCandyFun _07 STORAGE: KEEP SEALED AND= AND DRY PLACE. CONSUME ANDERSEN'S CRAZY CANDY 1261 $ 650 W FARMINGTON Urc USAT: O FOR QIFESTIONS OR FABUL eppern Ua Jollyi Facts BRITTLE Taut Nutrition containerR0 per semngs 8ea 3i3 Aboe serna Dbferh Dally  Value"" Fat al Fun that ered 20g Was side together  fexueme day Candy} SOy 64 STORE [ OPENING: AFTER , n"" 84025 CONTACT L COMMENTS"
36.jpeg,"NO Artificial NoA Colors MeaL  PuREE, Water); Cooked (WAter; ENRICHED WhEAT FLOUR Ipu as MACIN; reduced IRON, THHAMINe In 1924 BIk RIBOFLAVIN MITAMIN B24 FOLIG HU) TprOTEH ISoLate Wheat GLUTEMCSODIUM Chef Hector Boiardk( AO] Lagtig acid] GlvceRVL MONOSTEARATER restaurant WAs 30 po5uar Hrethus_Pors chcken LecHAWALY SEPAR4TED 7 Lohmeh beee WATER CrackerMeal [enrecheDwHEAT | his gignature %e ROUR bleaghed Wheat FLOuR;, MAcIN, ReduCeD IRON hia customers to take hone H0 (THHHME MOHOWTRATe, RIBOFLAVIN; FOLIC ACID}; May GUHTAW GUAR GUMj; Soy PROTEIN CONCENTRATE, Salt;, Chef Boyardee Sm uheLCOLOR FLNVORIGS SOYBEAN QIL,CITRIC ACID "") quality by using ingreders WATER; HIGH FRUCTOSE CORN SVRUP; LESS THAN 2% OF; DE |uwueed GoRw StarRch, Salt, dehydRated ONON; vire ripened Califors u D0 | HYOROLYzED CORN AND WHEAT GLUTEN AND SoY PROTEIN; wholesome pasta RTRI ACID;, FLAVORINGS , ENzYME Modified cheese Ireddar cheese [PASteuRIzed MLk; cultures;, Salt; MlwE WFeR SodunphosPhate XaNTHan Guh^ Fw F0R 'MLK, SOK, WHEAT;  'TO PRESERVE QUALITY ealing breco"" 188 Brands Scan here for MICROWAVE Po; '3534, more food inco IL information or call Fvur VR 1-800 5445680. bowl; QrUD vSi Or 'comments, KIGH 1V US at Vw Ser TTS Hou Gal 1 800*544 Com CAREFULLY;  TUP W smertlobel Pour hejl  Heat stirring Hon '043221 4 (ficial Quah vatives Jnghede Presg (TOMATo TOMATOES  sinss] MBREDIENTS;  SPAGHETTL  EHRICHED : SEMOLINA; WHEAT = MDURUM | NITAMN | (MHOHTRATE E Oa WHEAT E PHOSPHATE, bottling  Eamer Today;  IC MHTAHS; | Conagra Micfowats BOX pasta (CHICACO , Microwav:' 60654 cover: minutes ( (Quesons ! 'HANME Serving;, before chelbavardee . 5680_ STOVE ' Squcepdb inco pasta ' HANpI medfum t over occasionally , IT""St CAREFULLY 144"
65.jpeg,"FalYy %o To 0.5g 0g 8 Omg 20g 79 f 1g Dietary 12g 2496 Total Sugars Includes 12g Protein less than Ig Vitamin D Omcg 0% Calcium Omg Iron 0.3mg 0% Potassium 30mg 0% The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes t0 a daily diet 2,000r calories a is used for general nutrition advice INGREDIENTS: SUGAR, POPCORN; CANOLA OIL,CORN SYRUP, AND LESS THAN 2% OF COCOA (PROCESSED WITH ALKALI), NATURAL FLAVORS; SALT, SOY LECITHIN; GUM ACACIA,  MILK, MALTODEXTRIN (MADE FROM CORN) , BUTTERMILK, COCOA BUTTER, CREAM, 1 MEDIUM CHAIN TRIGLYCERIDES, MoNO- AND DIGLYCERIDES OF FATTY ACIDS , ROSEMARY EXTRACT (ANTIOXIDANT) , ANd ASCORBIC ACID (ANTIOXIDANT) . CONTAINS MILK AND SOY INGREDIENTS. MADE ON EQUIPMENT THAT MAKES PRODUCTS CONTAINING PEANUTS AND TREE NUTS. E MANUFACTURED FoR SMARTFOODS, inc. PLANO; TX 75024-4099 02023 SMARTFOODS inc. Total Fat Saturated 3% Fat Trans OFe Cholesterol 3% 65mg Carbohydrate Sodium 3% than Total less Fiber Sugars Added 0% day"
92.jpeg,"3 3  ' 5 3 J 0 1 V / Y} 2 2 [ '  3 ' 00 2 2 0 J  2 F 4 ' ' 1 6 U ; Aa 1 ~  L 4 <' ' ' ' "" T F "" eh "" 1 { Ea "" 2 U 3 V7 ` e 3 ^  3 X "" "" 2 4 ' 2 ' ' "" 2 2 2 2 1 0 6 0 (  3 V D  S 2 """
44.jpeg,"Miuro Do Nc FARM ACID); Nutrition Milk,_ 8 Servings Per Container 'sov Serving Size 1 Cookie (319) xJRACNM Andjor N= OLLS SOYBEAN)'_ Amount per serving 'SUGAR, Calories 140 SUGAR 2% OR % Dally d-cornstnc;  EGGS, MALTED C 8% QEoCR BANG 50056 Total Fat 69_ GREAM OF TARTAR; 18% Saturated Fat 3.59 WHEAT, MILK; SOY, Trans Fat Og_ PEPPERIDGE FARM ANC: 3% NORWALK , CT 06851 Cholesterol 1Omg 3% Contains bioengineered food ingredients Sodium 75mg The from corn; soy; and 21g 8% In thls come Irom Total  0% modilied crops. Dietary Og Learr more &r pepperldgetarm com 11g 8900-11-12E3 Total Sugars Sugars 11g Protein 1g 10mg 0% guaranteed. Vitamin D Orcg_O% 4Omg O% or comments, Iron 0.7rng 4% For 1-888-737-7374_ UINCTMVE a (DV) tells how Thank you: The % Daily Value to & dally In a serving of advlce; calories a day is for PEPPERIDGE FLOUR WHEAT THIAMINE ENRICHED IRON;, FROM: REDUCED MADE FOLIC NIACIN , RIBOFLAVIN, Facts (FLOUR;, COCOA MONONITRATE, (SUGAR, CHOCOLATE, CHOCOLATE MiLK LECIThin , SKIM BUTTER, DEXTROSE , FRUCTOSE, MILKeAt, SOYBEAN VANILLA (PALM  BROWN VEGETABLE HYDROGENATED INVERT AND (SUGAR, SYRUP CORN BUTTER, LESS MOLASSES) _ CONTAINS BARLEY Value* NATURAL SALT, AMMONIUM FLAVORS, BICARBONATE; EGGS. CONTAINS: ingredients product Carbohydrate sugar genellcally Fiber 910001036637 22% Added Includes Satisfaction Calcium questions Potassium call nutrlent please much you 2,000 dlet; contributes food nutrition general used"
40.jpeg,"6 Facts (u Wesservings container s8i4e %/4 tsp (2g} per 10 ' KODIAK % Daily Value Ual Fat 0.5g 1% odiak Fat 0.5g 3% 3/,TSP caleeatand Tans Fat Og 1 Use inmax  ITMEA) Holesterol Omg 0% 3 Vou HTp  MEAL Modium 0% = Imlal Carbohydrate 1g 0% 0 Tolal 2 9 2 Og Added Sugars_ 0 3 3 E0 0g 0 9 L lher, 2 {polyunsaturated fat; monounsaturated I  and potassium: Oll SYRUP SOLIDS_ AND/OR PALM (A 1 , LESS THAN 2% OF And DERIVATIVE) 1 7 PHOSPHATE; AND ARTIFICIAL A MILK ""of By VA E inC _ { A BIOENGINEERED In (he powdered Ca4 holt rition 8 per Hbout € Kerving serving [amount [ No laries (hdh  TMQVUHR Saturated 5mg Sugars 5 IncludJes ' Ptotein  Uteqicarl s source ( Ivter) vilamin  calcium, iron;, "" Uuredent s: € NGETABLE S HYDROCENATED CORN Y KERNEL (coconut 'SOYBEAN) Gehate  SODIUM AND ScERuDes _ MiLk MoMo- Awosil ! SODIUM DIPOTASSIUM Gwto € LICATE FLAVOR, J COLOR, = NATURAL Flatource ( CONTAINS: DERIVATIVE: ""amrted $ laclose . AGstN ` NESTI ~nrits  USA , 22209 ' USA  DERIVED F SOURCE FROM 44154440 6 Yles ) category: total  U.S_ creamer"
125.jpeg,"breath avers aers Shov Sicur breathsavers Peppermint #Uses NEUTRAZIN NATURAL & ARTIFICIAL FLAVOR and baking soda to 3 HOUR reduce intrinsic bad breath for up to three hours: 30% fewer calories than sugared mints. Calories per piece reduced from Z to 5 NNutrition Facts 20, Serv; size; mint (4,89); Arount Per Serving: Calories 5, Total Fat Og (% DV) Sodium Srg (OY DV; Total Carb 2g (% DM; Total Og (nci; Og Added Sugars; O% DV); Sugar Alcohols 2g, Protein Og: Nok a signicart source of salurated fat; trans fat; cholesterok; vitamin D; calciur; iron, and polassium: INGREDIENTS: SORBITOL, BAKING SODA; MAGHESIUMSTEARATE ASPARTAMEt; NATURAL FLNVOR ANDARTHFICHAL FLAVOR; ZIHC GLUCONATE MEDIUM CHAN TRIGLYGERIDES; ARTHFICHAL COLORIBLUE L LAKE} POLYSORBATE 80. tPHEHYLKETONURICS; COHTALKS PHEHYUALAMIHE; The Hershey Company Hershey; PA 17033-0815,U.S.A Visitus at Questions or comments? wW laskhersheycom WW breathsaversmints com 5 or 800-468-1714 PP 34000""93834' 6 701-93833-005 Leath Servings: Sugars ( Iber; ' dietary !"
