Image Name,Extracted Text
61.jpeg,"   
 
  
   
 
  
   
     

   
 
  
   
     
   
  
 
   
    

 

walories 140
% lue*
Total Fat 6g Daily Va nd
Saturated Fat 6 5g 8%
a * ons . -
Cholesterol o.—_ —
Pe ei

ium 7 9 ee
Sodium 110mg ae ae
Total Carbohya-; _

   
 
  
   
   
   
   

 

— Yarate jo, 7%
Dietary Fiber 2g s 8%
Total Sugars 2g
Includes 29 Adde

d Sugars gaz
Protein2g © —S 4%

Vitamin D Omeg os
Calcium 10mg a
on 0.6mg

0%
‘vessium 70mg

     

 

 

  

trient
""They Daily Value (DV) tells you how mucha oa

n 2 seny of food contributes to a aye ep
Oriag, z ee is used for general nutritio

ANOLA
NSREDIENTS: WHOLE CORN, SUNFLOWER AND/OR C
O1L.WN

R
Gap poe NHEAT, BROWN RICE FLOUR, WHOLE OAT FLOU
SUGAR, AND Sqr

CONTAINS WHE ar INGREDIENTS.

Cal

  
 

\ iy
LAY, tive.

|
‘Ne 'X 75024-4099 of (3)
‘Hipe :
diy SO al id hint
1 Yura? the Chip

10

N
‘ilar! ae registered te UM
ti 4 ‘arks Owned by Mt P 0
‘ay North,

America, inc. © 2015

 

nino nn | f
"
76.jpeg,"-gjualpasHu! poo} paseulbueoig sueyuo5

‘INI ‘VIINIWV H.LYON

AV1-OLINI 890% @

660%-9z0SZ XL ‘ONV Id

‘INI ‘AVT-OLIUS

ayy pue sinuead Bujule}u0d sjanposd sayew
dinbe uo apeW suojyeusojuy AB19/19

3H9NI 993 ONY JWSHM SNIVINOD:

(GGANHSu4 SANUASAUd) AINNOIdOea
waigtvo ONY ‘9914S TW HO109 TANVEVS
‘yoy 1d WIOlLLeV ‘NOWVNNIO dildAS NYO
sovulxa CVIN LIS ‘HOHWLS NHOO CalsICOW
eggs 0 S99S ‘GiWHdSOHd WAI WOONOW

) ONINZAVST “ONIMOT103
4H1 40 %2 NVHLSSAI GNV 4SO081X30
'acQ Lond ‘aLsvd NISIVY ‘YVONS dNYAS
NHOO aSOLONYd HOIH ‘onsiv ‘Sve 77108
‘(IoganHSaud aAWASaud OL DHALHLIM 110
ONY) “110 WIVd) ONINSLHOHS aIavld94A

‘(qigy O1104 ‘NIAW 14018 ‘J WHUINONOW
NINVIRL NOW! GONG NIOVIN sung td wa
, aS) uNO14 GAHOIYNA -S LNaagyoNl |

: ce
Pe A “
<a
pay =

wr

ere vut

yi

Pa

in

in

oe

er
Pe ns

 
"
17.jpeg,"\*.

     

    

ONON

AVENIING. (2 ! ROPHOSPHATE, MOM OS rg
( PER, DISODIUM PHOSPH TERMILK, PE

®  visirkelloggs.com

a cat 1-800-962-1413
: (SE,HABLA-ESPANOL)
fi

(“Bro JDE PRODUCTION.CODE ON PACKAGE

 
"
126.jpeg,"Total ¢

arbohydrate 2g 4 T
Dietary Fiber <iq % |

Total Sugars 17d

rrr

nce ge s |
gas 32%

Protein 19 : |

| Potassium 65mg

LL

- % Daily Yao is tells you how much a nutientin
te)

| Cao sda dys bad goede
INGREDIENTS: SUGAR, WHEAT
FLOUR, COCOA BUTTER, CHOCOLATE,
VEGETABLE OIL (PALM OIL, PALM
KERNEL OIL), LACTOSE (MILK), SKIM
MILK, MILK FAT, CONTAINS 2% OR
LESS OF: LECITHIN (SOY), PGPR,
VANILLIN (ARTIFICIAL FLAVOR), SALT,
YEAST, BAKING SODA. DD
CONTAINS: MILK, WHEAT, SOY.

MANUFACTURED IN A FACILITY THAT
PROCESSES PEANUTS.

The Hershey Company
S: Hershey, a USA
| der License Irom

soe Produits Nestlé 6.
Vevey, Switzerland, Trademark Owners
ments?
Que reycom or 800-408-171
Visit us at wear com |

 
"
60.jpeg,") a” ‘ SO ice 1 4 s
Serving sizé

    
  
  
 
 
 
 
  

vi
Amount per ser 4

alories

J gateiies a) |
1°! |

e dressing “%

  
 
   
  
 
    
  
    
   
    
      
   

Use comb

rings the"" ’ Saturated F2%

table/A jie ; Trans Fat ce A 0%
inst’ WAL 156 ‘

Wing Choles a “tj 209 X%

pr sf Total cf ar O9 Os

i py Fl hy
yl"" Diel4

roe 5ugaS BO
includes 0g Added i ——_%

Protein 29

TM

me.

Vitamin D Omeg 0% Calcium 40mg 4
lron0.6mg 4% *° Potassium 120mg : 24
SE

  
 
 
 
   
    

* The % Daily Value (DV) tells youhowmuchanutr/ al
in a serving of food contributes to a daily diet. 2,(.
calories a day is used for general nutrition advice.

__ INGREDIENTS: WHEAT FLOUR, PALM O) —_—-
_ SERBS, MODEED CORNSTARCH, SALT seer aN 2 O°
PAUP ci Ae Ne CAANG SDK, ODI

YEAST W
CULTURES at NUR RAL FLAVOR GS SIRS BUTTERM K,

HY CITRIC ACID, CREM.
. ——— CONTAINS iit K, EAT
. OTTO TOWN VS RIGLEY CONFECTIONE y pa SOY.

     
    

  
"
95.jpeg,"’ : ¥ ib d f 4s 4 M . ;
4 : a hd) twa AY
Je OWA EUMY, > eS
ine 1. “sir iy fA is mie ad oy
%2 NVHL SSI UYSAIOWMAN ee

WAR ta we

SHON aL NYT “ovraK9 3818 5 ;

 
"
33.jpeg,"  
  
  
  
  
 
 
 
 
  
 
 
 
  
 
 
 
 
 
 
 
 
   
   
  
 
  
     

ae

 
  

Ne! Oulu its make { addition to anym ME
ae an
or mix things up and try adding your oon oa ""
butter, shredded cheese, green g ‘ Tits pa

 

'

   
  
 
   
     
 
 
  

8, OF Shines.
—_

 

——.

Tiny dark specks occasionally found in our g)

($ are atirait

 

ty Velue* | + the corn we use in this prod: and do not affact there
oy Ui dl tSCt the tyes
0 - ae ner
0% || ELE] GG smartlobet ;
~ || BSE |
4 ro :
~ 9% || Else
ao], | | Scan here for more food Information or call!
_ va 1-800-694-7487 }
%

xis_0% | INGREDIENTS: Degerminated w' © corn git

__|niacinamide*, reduced iron, thiatti, &
mononitrate*, riboflavin*, folic acic =
""dng (*: /*0ne of the B vitamins aa

“c |THE QUAKER OATS COMPANY ovakat
+10 P.0. BOX 049003 CHICAGO, IL igase have package”
60604-9003 U.S.A. 7

quick
CHEESE G' rs
2 cups \ altel
1/2 cup QUAKER® Quick
4 ounces pasteurized prepat ;
cheese product ©"" .
Dash garlic powder (opuiene
Paprika
lowly stir grits into boiling wate! Reduces
Cover, Cook 4-§ minutes or unt! UNGes iy
&5@ and garlic powder, CONUNUE © goss
lite $ ‘ GS
_ utes. Sprinkle vith paprika. 4 SERVIN :
TOF nore re cipe ideas visit: quakeroa cul

 

3
I
14
|i
y
3

   
"
66.jpeg,"    
   
  
   

y | Yo Daily
Vv

y _ 4 an 8%
foal jr ae

Te - 0
\ ee ee as a
i i an 9 ———_

 

       

 

e ——— = aa

| a otal Suga!’ 29 0 _—ecgs 5 24%,
Includes 129 Adages

Protein Jess than 19 =

 
 
 
 
 

   

 

    
 

Vitamin D Omcg 7
Calc Omg a

lron 0.3mg 0%
| / Potassium 30mg 0%
| °

   

 

   

/ * The % Daily Value (DV) tells you h
j in a serving of food contributes to “a day asi
| calories a day is used for general nutrition oa

INGREDIENTS: SUGAR, POPCORN,
CANOLA
aia LESS THAN 2% OF COCOA PROCESS
L!), NATURAL FLAVORS, SALT, SOY LECITHIN,

GUM ACACIA, MILK MALTODEXTRIN (MADE
lap COCOA BUTTER BUTTER, CREAM, aca
a Y ; nO DIGLYCERIDES OF FATTY
‘SconmMeRCD anion T (ANTIOXIDANT), AND
CONTAINS MILK AND SOY INGREDIENTS.

MADE ON EQUIPMENT THAT MAKES PRODUCTS
CONTAINING PEANUTS AND TREE NUTS.

MANUFACTURED FoR

SMARTFOODS, INC.

ae TX 75024-4099
2023 SMARTFOODS, INC.

 
 
  

   
     

 
"
36.jpeg,"ial g NO Artificia!

46060884808
aange8 8
9 6 0 a?

TOMATO PUREE WATER), COOKED
a re, ENRICHED WHEAT FLOUR

ottS oan NIAGN, REDUCED IRON, THIAMINE

Chef Hector

r estaurant W3 90 opulgr's .

Ottling his signature wero

i8 Customers totake home 4
“oday, Chef Boyardee mane

Qu lity by using ingredemaany
i 2 ripened Cailform omuaity

Ay

Poe RATE AMIN Bi}, RIBOFLAVIN (VITAMIN B2}, FOLIC

g HNN | Wt PE ISOLATE (WHEAT GLUTEN, SODIUM
|. Te, LACTC ACID), GLYCERYL MONOSTEARATE),

Be as PORK, CHICKEN, MECHANICALLY SEPARATED
wet | “cy REEE WATER, CRACKERMEAL (ENRICHED WHEAT

= up GLEACHED WHEAT FLOUR, NIACIN, REDUCED IRON,

© ATU) | same owowTaate, RIBOFLAVIN, FOLIC ACID), MAY
see | CNTHWGUAR GUM, SOY PROTEIN CONCENTRATE, SALT, f=
cor WEL OLO, FLAVORINGS, SOYBEAN OIL CITRIC ACID""),

| HCH FRUCTOSE CORN SYRUP, LESS THAN 2 OF

SN) VODIIED CORN STARCH, SALT, DEHYDRATED ONION,

Mh, |‘ORLY2ED CORN AND WHEAT GLUTEN AND SOY PROTEIN,
“UACIO FLAVORINGS, ENZYME MODIFIED CHEESE
ayy | DAR CHEESE [PASTEURIZED MILK, CULTURES, SALT,

Wh! CYMES} WATER, SODIY
om i MSP TA

Sy el
I - =
4 ‘ip
\. J J :
4] Ora f he

INN
ett
MOG SOON

Colors

*TO PRESERVE QUALITY J «

a4 y. ""
are) § ee

‘Jesome pasta.

CROWAVE

yr pasta inte
vi: cover. Mic
Ht minute? ©
+ before sel"",

‘ iT’ 4\
REFULLY,

nic! Wee?
crowal®

 
"
122.jpeg," 

 
    

ee a eee f

eS mee
fe ne IS a rs
SOY LECITHIN, SUCRALOSE.

   
      
  
   

CONTAINS CaN FLAVOR, a YOU EXPERIENCE MOUTH IRRITATION be
DISCONTINUE US :

_ ol 1 | .
is dctcattt tera can ae 1 Bek
<5 Bispleatsfcnet it sa aein, , : |

vitamin D, calcu, iron, and potassium

roe ror 4

 
   

SPRUCE LG Tit eect]:
"
